Date,Bitcoin,Gold,S&P 500,Nasdaq
2021/11/12 0:00,-0.012300438,0.001399021,0.007196698,0.009927437
2021/11/15 0:00,-0.029592906,-0.000900405,-1.07E-05,-0.000448393
2021/11/16 0:00,-0.054922454,-0.006722546,0.003857779,0.00754131
2021/11/17 0:00,0.003430965,0.009157938,-0.002605015,-0.003278845
2021/11/18 0:00,-0.05842375,-0.004610613,0.003379065,0.004520704
2021/11/19 0:00,0.020466973,-0.007528266,-0.001399645,0.003976803
2021/11/22 0:00,-0.042454514,-0.0216323,-0.003202258,-0.012702564
2021/11/23 0:00,0.022481248,-0.008536331,0.001655761,-0.005034495
2021/11/24 0:00,-0.02263872,-0.000700245,0.002291224,0.004433277
2021/11/25 0:00,0.017511838,0,0,0
2021/11/26 0:00,-0.066873801,0.001898197,-0.022987011,-0.022566714
2021/11/29 0:00,0.009701684,-0.003807238,0.013113836,0.018620821
2021/11/30 0:00,-0.013955922,-0.006319929,-0.019143381,-0.015653932
2021/12/1 0:00,0.003928781,0.004987542,-0.011885541,-0.018423684
2021/12/2 0:00,-0.013227302,-0.00793137,0.014094638,0.008308778
2021/12/3 0:00,-0.052331586,0.008464078,-0.008484455,-0.019421796
2021/12/6 0:00,0.024288527,-0.003205131,0.011662599,0.009216681
2021/12/7 0:00,0.002319468,0.003294567,0.020495603,0.029878548
2021/12/8 0:00,-0.003859286,-0.001100605,0.003080536,0.006358959
2021/12/9 0:00,-0.057721556,-0.004309272,-0.007206988,-0.017226149
2021/12/10 0:00,-0.009035819,0.004489905,0.009503769,0.007270457
2021/12/13 0:00,-0.06944137,0.00249688,-0.009178158,-0.014001013
2021/12/14 0:00,-0.002674828,-0.009444459,-0.007498723,-0.011460834
2021/12/15 0:00,0.047838778,0.003892415,0.016216267,0.021293412
2021/12/16 0:00,-0.025504064,0.01232375,-0.008781863,-0.025054994
2021/12/17 0:00,-0.031180093,-0.000700245,-0.010340965,-0.000708399
2021/12/20 0:00,0.00370268,-0.00471108,-0.011453398,-0.012519923
2021/12/21 0:00,0.042928793,-0.000500125,0.017621755,0.023756084
2021/12/22 0:00,-0.006315834,0.008364916,0.010128728,0.011716424
2021/12/23 0:00,0.043381939,0.00249688,0.006204413,0.008434974
2021/12/27 0:00,-0.003333621,0.001498876,0.013744052,0.013823675
2021/12/28 0:00,-0.062151427,-0.003104815,-0.001010665,-0.005657621
2021/12/29 0:00,-0.024336012,-0.000900405,0.001400913,-0.000982632
2021/12/30 0:00,0.015667739,0.006280238,-0.002994234,-0.001565338
2021/12/31 0:00,-0.018649173,0.007372754,-0.002629634,-0.006154879
2022/1/3 0:00,-0.018914637,-0.015215166,0.006353824,0.011934283
2022/1/4 0:00,-0.012138935,0.007571265,-0.00062982,-0.013357478
2022/1/5 0:00,-0.052066288,-0.002803927,-0.019583264,-0.034020251
2022/1/6 0:00,-0.009410297,-0.011566636,-0.000964234,-0.001279583
2022/1/7 0:00,-0.037847989,0.003892415,-0.004058441,-0.009658676
2022/1/10 0:00,-0.002157812,0.003194891,-0.001442071,0.000463854
2022/1/11 0:00,0.021633411,0.01133551,0.009118286,0.01399665
2022/1/12 0:00,0.027993907,0.001798382,0.002813792,0.002303055
2022/1/13 0:00,-0.031375828,-0.001801622,-0.014346029,-0.025444116
2022/1/14 0:00,0.011859665,-0.002703652,0.000819644,0.005854481
2022/1/17 0:00,-0.020227572,0.0009995,0,0
2022/1/18 0:00,0.002956109,-0.003004509,-0.018559105,-0.026317237
2022/1/19 0:00,-0.01500991,0.014494446,-0.009736791,-0.011553475
2022/1/20 0:00,-0.025816743,-0.000900405,-0.011098742,-0.0130723
2022/1/21 0:00,-0.109604683,-0.002803927,-0.019095995,-0.027584777
2022/1/24 0:00,0.010352967,0.005385472,0.002767905,0.00624168
2022/1/25 0:00,0.008142487,0.002397125,-0.012246591,-0.023059721
2022/1/26 0:00,-0.002760824,-0.016027761,-0.001497757,0.000209005
2022/1/27 0:00,0.007733838,-0.011971372,-0.005398635,-0.014080214
2022/1/28 0:00,0.017247505,-0.003004509,0.024055968,0.030809106
2022/1/31 0:00,0.014804408,0.002995509,0.018709826,0.033512742
2022/2/1 0:00,0.006737319,0.002297359,0.00683956,0.007424687
2022/2/2 0:00,-0.04731074,0.003194891,0.0093784,0.004975043
2022/2/3 0:00,0.005441216,-0.001200721,-0.024693472,-0.038082241
2022/2/4 0:00,0.110626883,0.001698557,0.005143678,0.015669676
2022/2/7 0:00,0.033111583,0.007074914,-0.003708581,-0.005857652
2022/2/8 0:00,0.006324809,0.002796087,0.008366113,0.012675073
2022/2/9 0:00,0.004982114,0.003792798,0.014412842,0.020633242
2022/2/10 0:00,-0.017603394,-0.003205131,-0.018281824,-0.021254138
2022/2/11 0:00,-0.026921126,0.01813457,-0.019151683,-0.02820305
2022/2/14 0:00,0.009185768,0.005584378,-0.003847991,-1.67E-05
2022/2/15 0:00,0.045630604,-0.009242581,0.015643718,0.024980272
2022/2/16 0:00,-0.013855295,0.008265744,0.00088082,-0.001108832
2022/2/17 0:00,-0.081082331,0.015381102,-0.021400504,-0.029266332
2022/2/18 0:00,-0.012586526,0.000299955,-0.007191962,-0.012371382
2022/2/21 0:00,-0.035923811,0.004091618,0,0
2022/2/22 0:00,0.032134534,-0.003907625,-0.010194735,-0.012369509
2022/2/23 0:00,-0.026183635,0.004987542,-0.018583736,-0.026045544
2022/2/24 0:00,0.02739958,-0.002302649,0.014846105,0.03290239
2022/2/25 0:00,0.022738451,-0.008233805,0.022126081,0.016271602
2022/2/28 0:00,0.135764257,0.010742097,-0.002445591,0.004137602
2022/3/1 0:00,0.02653338,0.018330957,-0.015594468,-0.016049425
2022/3/2 0:00,-0.009753716,-0.008838949,0.018471047,0.016094447
2022/3/3 0:00,-0.034094479,0.004688989,-0.005268521,-0.015689542
2022/3/4 0:00,-0.081285276,0.017053755,-0.007965685,-0.016722062
2022/3/7 0:00,-0.009360315,0.01498713,-0.029962587,-0.036913086
2022/3/8 0:00,0.017584738,0.026836654,-0.007260044,-0.002763558
